priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,222,3,AIDS; HIV; STI,4,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,617,3,AIDS; HIV; STI,5,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,490,4,HIV; sexually transmitted; STD; STI,1,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,494,4,sexually transmitted; STD; STI; test,2,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,473,3,AIDS; HIV; STI,3,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,475,3,sexually transmitted; STD; STI,4,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,484,3,AIDS; HIV; STI,5,Review this page first; keyword density suggests possible relevant variable entries.,No
11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,Health Belief Model,HIV/AIDS knowledge and information exposure,Wave I to Wave III,High,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,271,1,transmission,1,Review this page first; keyword density suggests possible relevant variable entries.,No
11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,Health Belief Model,HIV/AIDS knowledge and information exposure,Wave I to Wave III,High,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,317,1,prevention,2,Review this page first; keyword density suggests possible relevant variable entries.,No
11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,Health Belief Model,HIV/AIDS knowledge and information exposure,Wave I to Wave III,High,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,337,1,prevention,3,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,238,1,worry,1,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,293,1,worry,2,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,335,1,worry,3,Review this page first; keyword density suggests possible relevant variable entries.,No
12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Wave I to Wave III,High,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,374,1,worry,4,Review this page first; keyword density suggests possible relevant variable entries.,No
