sample_name,variable,variable_label,variable_class,variable_role,n_total,n_missing,n_nonmissing,pct_missing,pct_nonmissing,weighted_pct_missing,weighted_pct_nonmissing,n_unique_nonmissing,is_binary_01,public_n_nonmissing,availability_class
full_weighted_wave1,num_H1BC3,NA,numeric,numeric_cleaned_item,6504,1849,4655,28.43,71.57,31.38,68.62,5,FALSE,4655,moderate_availability
full_weighted_wave1,num_H1BC4,NA,numeric,numeric_cleaned_item,6504,1858,4646,28.57,71.43,31.51,68.49,5,FALSE,4646,moderate_availability
full_weighted_wave1,num_H1BC5,NA,numeric,numeric_cleaned_item,6504,1882,4622,28.94,71.06,31.9,68.1,5,FALSE,4622,moderate_availability
full_weighted_wave1,num_H1BC7,NA,numeric,numeric_cleaned_item,6504,1827,4677,28.09,71.91,31.05,68.95,5,FALSE,4677,moderate_availability
full_weighted_wave1,num_H1BC8,NA,numeric,numeric_cleaned_item,6504,1864,4640,28.66,71.34,31.58,68.42,5,FALSE,4640,moderate_availability
full_weighted_wave1,num_H1MO1,NA,numeric,numeric_cleaned_item,6504,2147,4357,33.01,66.99,36.12,63.88,5,FALSE,4357,moderate_availability
full_weighted_wave1,num_H1MO2,NA,numeric,numeric_cleaned_item,6504,2168,4336,33.33,66.67,36.46,63.54,5,FALSE,4336,moderate_availability
full_weighted_wave1,num_H1MO3,NA,numeric,numeric_cleaned_item,6504,2161,4343,33.23,66.77,36.37,63.63,5,FALSE,4343,moderate_availability
full_weighted_wave1,num_H1MO5,NA,numeric,numeric_cleaned_item,6504,2207,4297,33.93,66.07,37.09,62.91,5,FALSE,4297,moderate_availability
full_weighted_wave1,num_H1PA3,NA,numeric,numeric_cleaned_item,6504,481,6023,7.4,92.6,7.92,92.08,5,FALSE,6023,high_availability
full_weighted_wave1,num_H1PA6,NA,numeric,numeric_cleaned_item,6504,2271,4233,34.92,65.08,33.57,66.43,5,FALSE,4233,moderate_availability
full_weighted_wave1,num_H1PA7,NA,numeric,numeric_cleaned_item,6504,115,6389,1.77,98.23,2.09,97.91,2,TRUE,6389,high_availability
full_weighted_wave1,num_H1PR3,NA,numeric,numeric_cleaned_item,6504,24,6480,0.37,99.63,0.41,99.59,6,FALSE,6480,high_availability
full_weighted_wave1,num_H1PR5,NA,numeric,numeric_cleaned_item,6504,29,6475,0.45,99.55,0.49,99.51,6,FALSE,6475,high_availability
full_weighted_wave1,num_H1PR7,NA,numeric,numeric_cleaned_item,6504,29,6475,0.45,99.55,0.52,99.48,6,FALSE,6475,high_availability
full_weighted_wave1,num_H1PR8,NA,numeric,numeric_cleaned_item,6504,27,6477,0.42,99.58,0.48,99.52,6,FALSE,6477,high_availability
full_weighted_wave1,num_H1WP9,NA,numeric,numeric_cleaned_item,6504,375,6129,5.77,94.23,5.93,94.07,5,FALSE,6129,high_availability
full_weighted_wave1,num_H1WP10,NA,numeric,numeric_cleaned_item,6504,374,6130,5.75,94.25,5.92,94.08,5,FALSE,6130,high_availability
